what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1511951355222
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1511951355222
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1511951355222
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1511951355222
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1511951355222
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1511951355222
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1511951355222
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1511951355223
os,sysinfo,,,"win32",1511951355224
arch,sysinfo,,,"x86_64",1511951355224
ws,sysinfo,,,"win32",1511951355224
locale,sysinfo,,,"en_US",1511951355224
processors,sysinfo,,,"4",1511951355224
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1511951355224
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1511951355224
java.specification.name,sysinfo,,,"Java Platform API Specification",1511951355224
java.specification.vendor,sysinfo,,,"Oracle Corporation",1511951355224
java.specification.version,sysinfo,,,"1.8",1511951355224
java.vendor,sysinfo,,,"Oracle Corporation",1511951355224
java.version,sysinfo,,,"1.8.0_121",1511951355224
java.vm.info,sysinfo,,,"mixed mode",1511951355224
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1511951355225
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1511951355225
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1511951355225
java.vm.specification.version,sysinfo,,,"1.8",1511951355225
java.vm.vendor,sysinfo,,,"Oracle Corporation",1511951355225
java.vm.version,sysinfo,,,"25.121-b13",1511951355225
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511951356552
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1511951356952
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1511951358140
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1511951359659
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1511951376332
