what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061650668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061652783
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1512061653880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061654235
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061727997
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1512061732258
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1512061736275
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1512061739144
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1512061770135
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1512061771204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061774375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061790877
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1512061799240
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1512061808775
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1512061810723
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1512061813192
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1512061814546
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1512061815510
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1512061819625
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1512061822066
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1512061824767
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1512061826351
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1512061826853
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1512061827615
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061831282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061839424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1512061842946
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1512061844233
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1512061847366
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1512061848732
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1512061850349
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1512061851518
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1512061861053
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1512061862374
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1512061865311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061868514
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061870515
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1512061871793
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061872168
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061874658
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1512061875747
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061876112
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061877852
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1512061878903
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061879261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061880974
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1512061881753
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061882151
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061883524
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.showRulerContextMenu",1512061884411
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1512061886089
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061886426
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061939285
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1512061946428
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1512061950500
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1512061951000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1512061954187
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1512061962540
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1512061992642
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1512061994408
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512061998973
